review_posted_date,review_header,review_rating,review_author
28 January 2019,Amazing product 👌,5.0 ,Pooja Devlekar
02 February 2019,Wow!,5.0 ,Z
01 March 2019,Awesome taste and a healthy breakfast option,5.0 ,mum_n_kiddos
16 February 2020,Disappointing purchase.,2.0 ,Shiv Shankar Ash
24 September 2019,Cheating customers,1.0 ,Siddharth
06 April 2019,Just ok,4.0 ,Soma
09 October 2019,"Very sweettaste,and untolerable synthetic smell.",1.0 ,S.Chowdhury
01 March 2019,Tasty and healthy snack.,5.0 ,Kapil Sharma
29 August 2019,Chia and flax seeds burnt... awful and no return,1.0 ,Amazon Customer
17 March 2019,Yoga bar ❤️,5.0 ,Patricia Vishwanathan
28 January 2019,Amazing product 👌,5.0 ,Pooja Devlekar
02 February 2019,Wow!,5.0 ,Z
01 March 2019,Awesome taste and a healthy breakfast option,5.0 ,mum_n_kiddos
16 February 2020,Disappointing purchase.,2.0 ,Shiv Shankar Ash
24 September 2019,Cheating customers,1.0 ,Siddharth
06 April 2019,Just ok,4.0 ,Soma
09 October 2019,"Very sweettaste,and untolerable synthetic smell.",1.0 ,S.Chowdhury
01 March 2019,Tasty and healthy snack.,5.0 ,Kapil Sharma
29 August 2019,Chia and flax seeds burnt... awful and no return,1.0 ,Amazon Customer
17 March 2019,Yoga bar ❤️,5.0 ,Patricia Vishwanathan
29 May 2020,GOOD MUESLI / LESS DRIED FRUITS.,4.0 ,ö Non Monk ö
27 November 2019,Healthy and tasty breakfast,4.0 ,ADI
20 June 2020,Muesli review,4.0 ,Deepsikha Sarkar
17 March 2019,Stale and Smelly,1.0 ,DrPandya
16 August 2019,Highly recommended Product!,5.0 ,Masih
15 December 2019,Pathetic pls don't buy now,1.0 ,Anil
14 December 2019,Sugary breakfast,1.0 ,AmaZon2014
21 May 2020,Fruits and nuts are far less than menetioned,3.0 ,AWADHESH KUMAR Singh
08 June 2020,"Delicious, Healthy",5.0 ,Rachel
08 September 2020,Smells tasyea,4.0 ,Sukanya Baliarsingh
07 July 2019,Best option for breakfast,5.0 ,Taranjit Ghai
28 October 2019,Artificial taste,1.0 ,Amazonholic
06 September 2019,"Its gone bad , dry fruits in it got bad and have some bugs attached to them",1.0 ,ganesh
05 August 2020,Yeh Yoga Bar,5.0 ,Barun Ghosh
17 June 2019,Not Good.,1.0 ,Prof.M.P.Jaiswal
21 January 2019,Great product,5.0 ,Lakshya Kamra
18 January 2019,Great product! Great price!,5.0 ,Kavrao
03 April 2019,Quality breakfast,5.0 ,Saroj
23 May 2019,Cream biscuit/waffers taste..not good,3.0 ,Mithun
11 October 2019,Good and worth the money 👍 ❤️,5.0 ,Divi Divine
31 July 2020,Not upto mark,3.0 ,aditi sinha
06 September 2019,Great taste. Value for money.,5.0 ,Amazon Customer
18 October 2019,Shocking,1.0 ,Mehvish
17 July 2019,The taste is pathetic..,1.0 ,Sapna sahi
11 July 2020,The Perfect Start to the Day!!,5.0 ,ShopAholic!
08 June 2020,All's well,5.0 ,Amazon Customer
02 July 2020,Yogabar is downgraded the Quality,1.0 ,Aman Gupta
08 August 2020,Complete breakfast,5.0 ,Aditya Kumar Gupta
20 August 2019,Good,4.0 ,Mahir I.U.
12 June 2020,"Light, Healthy and Delicious🥣🥣",5.0 ,Manish K.
02 August 2020,Healthy and Delicious Breakfast .,5.0 ,Harsh
05 August 2020,Preservatives Preservatives & Preservatives,1.0 ,Rajul Patel
22 September 2019,#1. YUMMY AND HEALTHY,5.0 ,Tushar Poojari
21 May 2019,"Good quality, excellent packaging",4.0 ,Krishna
01 July 2019,Tastier and healthier alternative.,5.0 ,Tanya jaiswal
08 December 2019,Value for money,5.0 ,Ayesha Sheeba/ Mohamed Riyas
27 May 2019,Disappointed,2.0 ,RS
08 July 2019,Amazing taste,5.0 ,Gurpreet khera
06 July 2019,Excellent,5.0 ,Reena verma
21 March 2019,Healthy snack,5.0 ,Paresh
09 July 2019,Simply amazing,5.0 ,Kiran
09 February 2019,"Delicious, Nutritious, Healthy - all that brekkie should be",5.0 ,Mandrake
21 July 2020,Amazing taste and fresh smell. 😍,4.0 ,Aamir khan
14 July 2019,Healthy Breakfast,5.0 ,Raghav Mehta
24 August 2020,Not a healthy food at all. Too much sugar syrup taste that dominates other natural flavours,4.0 ,Piyush Mishra
19 July 2019,Sugar,1.0 ,Spartacus
06 July 2019,Packaging Details and Product not clear,4.0 ,SIDDHARTH D.
16 September 2020,"Good ,should have been iron fortified",4.0 ,john
06 July 2019,Stay fit!try this,5.0 ,shruti
12 August 2020,Good product,5.0 ,F Daniel
05 July 2019,Good one,4.0 ,Chigs
03 March 2019,How the product quality is?,3.0 ,Swapan
27 February 2019,Loving it!!,4.0 ,PS...
10 July 2020,Good Product But,4.0 ,Paras R.
26 July 2019,Great taste,5.0 ,Rose
09 August 2020,Super tasty muesli,5.0 ,Poornima
10 November 2019,"Contains all the ingredients it claims, that too in plenty!",5.0 ,Amazoncustomer
11 July 2019,Tasty and healthy,4.0 ,Tara Anand
30 May 2019,Best among the morning cereals,5.0 ,Ramesh K
23 December 2019,4 out of 5,5.0 ,mittu
25 May 2020,Value for money,5.0 ,Juhi Shirkar
23 March 2019,didnt like it,1.0 ,stw 1234
09 July 2019,"Healthy , Tasty and Value for Money!!",5.0 ,Amazon Customer
20 June 2020,Quality degraded,1.0 ,Ca@am89
28 February 2019,Healthy and tasty,5.0 ,Shobhi
17 July 2019,Rich and healthy,5.0 ,Lavina
05 July 2019,The perfect breakfast,5.0 ,Yummy Singh
