rating,date
5.0,2020-06-10
5.0,2019-08-29
2.0,2020-03-05
5.0,2019-10-07
4.0,2019-11-27
4.0,2019-07-31
4.0,2019-10-18
4.0,2019-09-21
5.0,2020-06-29
5.0,2019-03-30
5.0,2019-09-17
3.0,2020-05-21
4.0,2019-07-29
4.0,2020-07-21
2.0,2020-06-19
5.0,2020-07-27
5.0,2019-10-16
2.0,2019-10-06
5.0,2019-10-29
5.0,2020-03-03
5.0,2020-08-08
4.0,2020-03-03
4.0,2019-08-21
4.0,2019-07-03
1.0,2019-10-05
5.0,2020-03-07
5.0,2019-06-21
1.0,2019-12-05
5.0,2019-04-09
5.0,2020-01-18
5.0,2020-09-16
5.0,2019-10-26
5.0,2019-12-19
5.0,2020-08-02
4.0,2019-10-06
5.0,2019-03-14
5.0,2020-03-05
5.0,2019-05-29
1.0,2020-06-24
5.0,2020-03-10
4.0,2019-09-13
5.0,2019-02-06
1.0,2019-12-14
5.0,2019-03-17
4.0,2020-07-07
1.0,2020-07-02
5.0,2020-06-04
5.0,2019-07-25
4.0,2020-07-09
5.0,2020-02-02
4.0,2020-08-30
5.0,2019-10-25
5.0,2020-07-11
5.0,2019-08-07
3.0,2020-06-23
5.0,2019-10-05
5.0,2020-06-11
5.0,2019-10-07
5.0,2020-08-11
5.0,2020-03-06
5.0,2019-10-08
5.0,2019-11-21
5.0,2019-07-09
5.0,2020-07-18
4.0,2019-07-01
4.0,2020-07-14
5.0,2020-01-15
4.0,2019-12-26
5.0,2019-05-08
5.0,2019-11-11
4.0,2019-10-05
5.0,2019-09-22
4.0,2019-10-07
5.0,2019-08-09
5.0,2019-04-19
4.0,2019-07-07
4.0,2019-10-19
5.0,2019-05-30
5.0,2020-07-14
4.0,2020-05-28
5.0,2020-08-01
4.0,2019-07-28
5.0,2019-09-24
4.0,2020-01-08
4.0,2019-08-14
5.0,2020-03-10
5.0,2019-11-03
3.0,2019-05-10
4.0,2020-03-02
5.0,2019-09-28
5.0,2020-02-25
4.0,2020-07-07
1.0,2019-11-09
1.0,2020-06-13
5.0,2020-05-22
5.0,2020-08-03
5.0,2020-06-01
5.0,2020-01-28
1.0,2019-12-18
2.0,2019-12-13
5.0,2019-08-27
5.0,2019-10-05
5.0,2020-07-15
5.0,2020-06-08
2.0,2019-03-14
3.0,2019-07-29
5.0,2019-09-06
5.0,2019-07-19
5.0,2019-10-11
5.0,2019-10-10
2.0,2019-12-26
5.0,2020-01-24
5.0,2020-08-01
5.0,2019-06-06
5.0,2019-11-10
1.0,2019-10-28
5.0,2020-09-07
5.0,2020-06-01
4.0,2019-10-19
2.0,2020-08-02
5.0,2020-08-06
5.0,2019-07-26
5.0,2019-03-16
1.0,2020-03-01
5.0,2019-07-06
5.0,2020-06-19
5.0,2019-12-20
1.0,2019-12-15
4.0,2020-05-28
5.0,2019-11-04
4.0,2019-03-28
5.0,2019-09-10
5.0,2020-07-19
5.0,2019-10-18
4.0,2020-08-02
5.0,2020-05-17
5.0,2019-10-31
4.0,2019-06-01
4.0,2019-06-30
4.0,2020-06-08
5.0,2019-10-10
5.0,2020-06-14
5.0,2019-06-28
4.0,2020-01-25
5.0,2019-03-17
5.0,2019-09-05
5.0,2020-05-30
5.0,2019-04-03
5.0,2019-09-30
4.0,2020-07-02
1.0,2019-06-22
4.0,2020-03-15
4.0,2020-01-22
4.0,2019-03-20
5.0,2019-11-08
5.0,2019-07-17
5.0,2019-08-14
5.0,2019-10-10
5.0,2019-07-13
3.0,2020-03-21
5.0,2019-07-05
4.0,2020-09-18
3.0,2019-01-27
5.0,2020-06-04
5.0,2019-09-30
5.0,2020-08-13
5.0,2019-12-08
5.0,2019-10-05
4.0,2020-08-18
5.0,2019-11-04
4.0,2019-06-24
5.0,2019-08-05
5.0,2019-09-06
5.0,2020-06-11
5.0,2019-07-04
5.0,2020-06-25
5.0,2020-08-05
5.0,2019-07-02
